Symbol,Stock Name,Median Target,High Estimate,Low Estimate,Median Estimate,Last Price,Analyst Count,Intrinsic Value,Previous Close,Discounted EBIT,Terminal Value,Enterprise Value,WACC,Len EBIT Available,FCF Year 1,FCF Year 2,FCF Year 3,FCF Year 4,FCF Year 5
NKTR, nektar-therapeutics,2,5,0,+437.21%,0.51.,6,7.024,0.5099999904632568,"[-273722332, -222340291, -180603476, -171126613, 119163151]",(2651560342.5834846+0j),1456006241.0,0.03950000000000001,5.0,-273722332.0,-222340291.0,-180603476.0,-171126613.0,(2651560342.5834846+0j)
NKTX, nkarta,15,25,9,+89.39%,7.92.,9,,,,,,,,,,,,
NL, nl-industries,5,5,5,-3.10%,5.16.,1,75.616,5.369999885559082,"[49124906, 53541098, 58354295, -57248410, 69317664]",(4270759099.943926+0j),3691792515.0,0.03950000000000001,5.0,49124906.0,53541098.0,58354295.0,-57248410.0,(4270759099.943926+0j)
NLS, nautilus,1,2,0,+105.65%,0.62.,2,,,,,,,,,,,,
NLY, annaly-capital-management,20,22,16,+7.01%,19.39.,11,,,,,,,,,,,,
NMG, nouveau-monde-graphite,5,8,5,+140.91%,2.20.,3,,,,,,,,,,,,
NMIH, nmi-holdings,34,40,31,+12.92%,30.11.,11,27.453,31.469999313354492,"[351114445, 350292852, 349473183, 334495711, 347839593]",(10474598704.186035+0j),2770000000.0,0.06584918433447169,5.0,351114445.0,350292852.0,349473183.0,334495711.0,(10474598704.186035+0j)
NMM, navios-maritime-partners,40,45,25,+38.22%,28.94.,3,21.702,28.8799991607666,"[-765443446, 1286918538, 2163659944, 2203875565, 6115963720]",(-384199769492.72736+0j),1830000000.0,0.03950000000000001,5.0,-765443446.0,1286918538.0,2163659944.0,2203875565.0,(-384199769492.72736+0j)
NMR, nomura-holdings,4,5,3,-14.45%,4.99.,6,,,,,,,,,,,,
NMRK, newmark,12,13,11,+17.24%,10.24.,4,9.758,10.399999618530273,"[555915217, 574168253, 593020611, 555383733, 632602661]",(13983242528.973446+0j),3580000000.0,0.0883163901263492,5.0,555915217.0,574168253.0,593020611.0,555383733.0,(13983242528.973446+0j)
NN, nextnav,12,12,12,+211.28%,3.86.,2,1910.579,3.75,"[-709328804, -1299079769, -2379162022, -2288756154, 7979953932]",(245202987316.45566+0j),203327777360.0,0.03950000000000001,5.0,-709328804.0,-1299079769.0,-2379162022.0,-2288756154.0,(245202987316.45566+0j)
NNBR, nn,4,5,4,+7.91%,4.17.,1,124.572,4.389999866485596,"[-62134183, -62922607, -63721034, -63037341, 65348410]",(7111397807.232884+0j),5672654760.0,0.03950000000000001,5.0,-62134183.0,-62922607.0,-63721034.0,-63037341.0,(7111397807.232884+0j)
NNDM, nano-dimension,10,10,10,+326.44%,2.35.,1,3278.636,2.380000114440918,"[-1276310122, -2874879802, -6475647034, -6229578676, 32855654406]",(1009567809468.3542+0j),847787957934.0,0.03950000000000001,5.0,-1276310122.0,-2874879802.0,-6475647034.0,-6229578676.0,(1009567809468.3542+0j)
NNI, nelnet,90,90,90,+4.38%,86.22.,1,,,,,,,,,,,,
NNN, nnn,42,48,37,+2.72%,41.62.,15,42.629,41.130001068115234,"[450002418, 447581618, 445173840, 428114992, 440397075]",(14479427322.764349+0j),11650000000.0,0.05945314944241153,5.0,450002418.0,447581618.0,445173840.0,428114992.0,(14479427322.764349+0j)
NNOX, nano-x-imaging,18,22,14,+218.87%,5.65.,3,,,,,,,,,,,,
NNVC, nanoviricides,6,6,6,+519.05%,1.05.,1,,,,,,,,,,,,
