Product Name,Product Price,Product Rating,Number of Reviews,Product Units Sold,Product Category,Product URL,Product Image URL
"Colorblock Faux Fur Slippers, Casual Slip On Plush Lined Shoes, Comfortable Indoor Home Slippers",6.38,4.8,10427,100K+,in Women's slippers,https://www.temu.com/colorblock-faux-fur-slippers-casual-slip-on-plush-lined-shoes-comfortable-indoor-home-slippers-g-601099523835998.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/461ed1182b7e1259e070631b4ed115bc.jpg?imageView2/2/w/500/q/70/format/webp
"3pcs Multicolor Plush Duvet Cover Set - Soft And Warm Bedding For Bedroom, Guest Room, And Dorm Decor",33.27,4.6,60032,94K+,in Bedding,https://www.temu.com/3pcs-y2k-multicolor-plush-duvet-cover-set-1pc-duvet-cover-2pcs-pillowcase-no-pillow-core-soft-warm-bedding-set-g-601099513092722.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d45292ae3e43d7f6cae94f9161f25ce9.jpg?imageView2/2/w/500/q/70/format/webp
"Plaid Fuzzy Fall & Winter Jacket, Casual Button Front Long Sleeve Outerwear, Women's Clothing",21.47,4.7,25172,22K+,in Women's Coat & Jacket,https://www.temu.com/plaid-fuzzy-fall-winter-jacket-casual-button-front-long-sleeve-outerwear-womens-clothing-g-601099526936436.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/1fea98ae3c65f68743664f19b3b7da79.jpg?imageView2/2/w/500/q/70/format/webp
"Stylish Classic Men's Lapel Collar Coat For Winter, Men's Outfits",33.97,4.6,13788,29K+,in Men's Jackets &Coats,https://www.temu.com/stylish-classic-mens-lapel-collar-coat-for-winter-mens-outfits-g-601099514494214.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/8e33406a0a4e0586b5736e98a6d2096b.jpg?imageView2/2/w/500/q/70/format/webp
"3 In 1 Fast Charging Station, Folding Wireless Charger Stand For IPhone 14,13,12,11/Pro/Max/Mini/Plus, X, XR, XS/Max, SE, 8/Plus, Iwatch 1-8, Airpods 3/2/Pro",13.22,4.6,28581,100K+,in Wireless Chargers,https://www.temu.com/3-in-1-fast-charging-station-folding-wireless-charger-stand-for-iphone-14-13-12-11-pro-max-mini-plus-x-xr-xs-max-se-8-plus--watch-1-8--3-2-pro-g-601099513277848.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/6a976c12f8b28f9069151de8cac2a7e4.jpg?imageView2/2/w/500/q/70/format/webp
"1pc Tortilla Blanket Pepperoni Pizza Blanket Realistic Donut Blanket Food Throw Blanket, Personalized Gift Blanket, Soft And Comfortable Facecloth Round Blanket Cookies Blanket Novelty Realistic Cookies Throw Blanket",7.47,4.8,23932,100K+,in Blankets & Throws,https://www.temu.com/1pc-funny-warm-food-blanket-collection-9-styles-available-lightweight-cozy-plush-blanket-for-bedroom-living-rooms-sofa-couch-g-601099513187936.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/51715afbd089807c56065d0353298909.jpg?imageView2/2/w/500/q/70/format/webp
"Mini Printer For IPhone And Android, Wireless Mini Photo Printer Label Printer, Portable BT Mini Thermal Printer For Printing Label, Journal, Study Note, Christmas Halloween Thanksgiving gifts",12.48,4.7,15204,74K+,in Electronic Toys,https://www.temu.com/mini-printer-for-iphone-and-android-wireless-mini-photo-printer-label-printer-portable-bt-mini-thermal-printer-for-printing-label-journal-study-note-compatible-with-ios-android-g-601099514289556.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/6a9c427536ac499c7389f435db66f209.jpg?imageView2/2/w/500/q/70/format/webp
"TOPK D38-C Car Phone Holder Mount, Upgraded Adjustable Horizontally And Vertically Cell Phone Holder For Car Dashboard Compatible With All Phones",8.48,4.7,48029,100K+,in Car Phone Holder,https://www.temu.com/topk-d38-c-car-phone-holder-mount-upgraded-adjustable-horizontally-and-vertically-cell-phone-holder-for-car-dashboard-compatible-with-all-phones-g-601099517753902.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/219c6dc3094fe651c7a5223613d22ea5.jpg?imageView2/2/w/500/q/70/format/webp
"Winter plush lined flat shoes, Women's low top slip on shoes, women's footwear",10.99,4.7,117020,100K+,in Women's Fashion Sneakers,https://www.temu.com/winter-snow-boots-womens-ankle-boots-women-cotton-boots-non-slip-warm-plush-shoes-g-601099512416757.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/e47d6545d8f1cfc990d317e543ce7a16.jpg?imageView2/2/w/500/q/70/format/webp
"Corduroy Men's Casual Retro Stand Collar Thick Long Sleeve Henry Shirt, Spring Fall Top",13.17,4.5,7187,87K+,in Men's T-Shirts,https://www.temu.com/pit-stripe-pattern-mens-casual-retro-stand-collar-thick-henry-shirt-fall-winter-g-601099524379311.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/06eb4d042c8dec05985c70386dfd2ae9.jpg?imageView2/2/w/500/q/70/format/webp
Crossbody Bag Women's Shoulder Bag Vintage Leather Vertical Hand Business Women's Casual Leather Bag Satchel Bag For Women,9.47,4.5,60870,100K+,in Messenger Bags,https://www.temu.com/pu-leather-business-crossbody-bag-adjustable-strap-sipper-handbag-vintage-casual-shoulder-bag-g-601099516375400.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/9f23c81885cb7e05a550b40f9e796246.jpg?imageView2/2/w/500/q/70/format/webp
"Double Breasted Trench Coat, Elegant Lapel Long Sleeve Outerwear, Women's Clothing",24.29,4.6,7685,33K+,in Women's Coat & Jacket,https://www.temu.com/double-breasted-trench-coat-elegant-lapel-long-sleeve-outerwear-womens-clothing-g-601099522142182.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/96126bbd3a0d25a0a00f9c42776e7c51.jpg?imageView2/2/w/500/q/70/format/webp
"Cartoon Snack 3D Print Boys Casual Pullover Long Sleeve Hoodies, Boys Sweatshirt For Spring, Kids Hoodie Tops Outdoor",10.58,4.8,13654,22K+,in Boys' Tops,https://www.temu.com/cartoon-snack-3d-print-boys-casual-pullover-long-sleeve-hoodies-boys-sweatshirt-for-spring-fall-winter-kids-hoodie-tops-outdoor-g-601099532111308.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/aad47d60ac34c2ea442e2291fdec3e87.jpg?imageView2/2/w/500/q/70/format/webp
"10pcs Black Nail Clippers Kit, Ultra Sharp Sturdy Fingernail Cutters, Professional Nail Clippers Pedicure Care Tools, Toenail Clipper Cutters For Men And Women Nail Trimmer",5.78,4.7,32822,57K+,in Home Use Medical Supplies & Equipment,https://www.temu.com/10pcs-black-nail-clippers-kit-ultra-sharp-sturdy-fingernail-cutters-professional-nail-clippers-pedicure-care-tools-toenail-clipper-cutters-for-men-and-women-nail-trimmer-g-601099515591499.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/ff53283bb8d8a5f5a0a11e97ab5f8c49.jpg?imageView2/2/w/500/q/70/format/webp
"Vintage Style Warm Fleece Coat, Men's Casual Hooded Warm Thick Jacket For Fall Winter",27.71,4.5,7918,18K+,in Men's Jackets &Coats in Black,https://www.temu.com/vintage-style-warm-fleece-coat-mens-casual-hooded-warm-thick-jacket-for-fall-winter-g-601099524849794.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/895a39095a9dd17d4aac604be542ce7e.jpg?imageView2/2/w/500/q/70/format/webp
"Waterproof Smart Watch With Sleep Tracker, Pedometer, And Multiple Sports Modes - Perfect Fitness Watch For Men And Women",11.99,4.7,20249,91K+,in Sports Electronics & Gadgets,https://www.temu.com/smart-watch-answer-make-call-1-83-inch-fitness-tracker-with-heart-rate-sleep-monitoring-pedometer-calories-multiple-sports-modes-waterproof-fitness-watch-for-men-and-women-g-601099516421335.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/24a31043727a1a217321f76396b62154.jpg?imageView2/2/w/500/q/70/format/webp
"Portable Wireless Bass Speaker: Enjoy Music Anywhere With T&G's Charging Cable, Aux Cable, FM TF USB Plug-in Card!",11.48,4.7,41948,100K+,in Audio & Radio,https://www.temu.com/t-g-portable-wireless-bass-speaker-charging-cable-and-aux-cable-fm-tf-usb-plug-in-card-compatible-g-601099513519806.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/5446b179a0ee9740948a5dc7f7f5e77c.jpg?imageView2/2/w/500/q/70/format/webp
"1/4pcs, Microfiber Cleaning Mop Replacement Pad, Compatible With Swiffer Sweeper, Flat Floor Mop Cloth, Washable And Durable Replacement Mop Cloth, Wet And Dry Use, Easy To Clean, Cleaning Supplies, Back To School Supplies",1.78,4.6,11328,100K+,in Household & Cleaning Supplies,https://www.temu.com/1-4pcs-microfiber-cleaning-mop-replacement-pad-compatible-with-swiffer-sweeper-flat-floor-mop-cloth-washable-and-durable-replacement-mop-cloth-wet-and-dry-use-easy-to-clean-cleaning-supplies-back-to-school-supplies-g-601099524260855.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/bc4c4a75f275ec501bb160da43f2e149.jpg?imageView2/2/w/500/q/70/format/webp
"Plaid Pattern Men's Long Sleeve Hooded Shirt With Chest Pocket & Drawstring, Men's Casual Spring Fall Clothing",13.17,4.7,21111,78K+,in Men's Casual & Dress Shirts,https://www.temu.com/plaid-pattern-mens-long-sleeve-hooded-shirt-jacket-with-chest-pocket-mens-casual-fall-winter-outwear-g-601099522459895.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/c463b98cb024ba5028ed2354beacf865.jpg?imageView2/2/w/500/q/70/format/webp
"Plus Size Casual Outfits Set, Women's Plus Wave Trim Long Sleeve Shawl Collar Coat & Cami Top & Leggings Outfits Three Piece Set",20.69,4.6,29105,42K+,in Curve Two Pieces Set,https://www.temu.com/plus-size-casual-outfits-set-womens-plus-wave-trim-long-sleeve-shawl-collar-coat-cami-top-leggings-outfits-three-piece-set-g-601099521314722.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/e0f39fca00f8f550dde367477dc26487.jpg?imageView2/2/w/500/q/70/format/webp
"1pc Area Rug, 3D Game Carpet, Non-slip Floor Mat For Living Room Bedroom, Game Player Home Decor, Boys Gifts",5.98,4.6,25086,51K+,in Building Supplies,https://www.temu.com/1pc-area-rug-3d-game-carpet-non-slip-floor-mat-for-living-room-bedroom-game-player-home-decor-boys-gifts-g-601099513305525.html,https://img.kwcdn.com/product/open/2022-12-08/1670503113515-ba6bd8f400bd44bdb1603987a6fb75d4-goods.jpeg?imageView2/2/w/500/q/70/format/webp
"1pc Massage Gun, Deep Tissue Muscle Handheld Percussion Massager For Body, Back And Neck Pain, Ultra Compact Elegant Design, Powered By High Torque, Father's Day Gift For Dad",14.99,4.7,21262,100K+,in Salon & Massage Equipment,https://www.temu.com/1pc-massage-gun-deep-tissue-muscle-handheld-percussion-massager-for-body-back-and-neck-pain-ultra-compact-elegant-design-powered-by-high-torque-fathers-day-gift-for-dad-g-601099518026201.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d8801cef511b3fe24f6d15d04479c57e.jpg?imageView2/2/w/500/q/70/format/webp
Microfiber Car Towel Set Quick Dry Absorbent,1.98,4.7,56001,100K+,in Car Exterior Care,https://www.temu.com/microfiber-car-towel-set-quick-dry-absorbent-g-601099521916135.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/e03b2be610b27d99e5a23d7f940d12d6.jpg?imageView2/2/w/500/q/70/format/webp
"1pc To My Daughter Print Blanket, Soft Blanket For Sofa Office Bed And Travelling Daughter Birthday Gift",6.97,4.8,9469,53K+,in Blankets & Throws: Print,https://www.temu.com/1pc-to-my-daughter-print-blanket-soft-blanket-for-sofa-office-bed-and-travelling-daughter-birthday-gift-g-601099514237035.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/15759a21e2ebb05cf8f3843c823f31e4.jpg?imageView2/2/w/500/q/70/format/webp
"E99 Drone With Camera, Foldable RC Quadcopter Drone,Remote Control Drone Toys For Beginners Men's Gifts,Indoor And Outdoor Affordable UAV,Christmas Halloween Thanksgiving Gift",15.98,4.5,12347,100K+,in Drones & Flying toys,https://www.temu.com/e99-pro--with-hd-camera-wifi-fpv-hd-dual-foldable-rc--altitude-hold-remote-control-toys-for-beginners-children-mens-gifts-indoor-and-outdoor-affordable--g-601099517961544.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/c74af48f5bf02bc1afdaa98d6866dc5a.jpg?imageView2/2/w/500/q/70/format/webp
"1080P Binocular Infrared Night-Visions Device 5X Binocular Day Night Use Photo Video Taking Digital Zoom for Hunting Boating,Battery powered (included 3800mAh);thansgiving christmas new year gift",35.86,4.6,9573,41K+,in Camera & Photo,https://www.temu.com/1080p-binocular-infrared-night-visions-device-5x-binocular-day-night-use-photo-video-taking-digital-zoom-for-hunting-boating-battery-powered-not-included-g-601099517669722.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/3f4a371ddbb56612a3233c004e05f9db.jpg?imageView2/2/w/500/q/70/format/webp
"Solid Cable Knit Sweater, Casual Crew Neck Long Sleeve Sweater, Women's Clothing",9.26,4.6,11913,100K+,in Women's Sweaters,https://www.temu.com/solid-cable-knit-sweater-casual-crew-neck-long-sleeve-sweater-womens-clothing-g-601099517449400.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/a857aae524f2501a53b03e98104bba02.jpg?imageView2/2/w/500/q/70/format/webp
"2pcs LED Flashlights, High Lumen Tactical Flashlights With 5 Modes, Waterproof & Zoomable, Portable Torch For Camping, Hiking Outdoor, Home Emergency, Battery Not Included",6.99,4.7,44999,61K+,in Outdoor Lights,https://www.temu.com/2pcs-led-flashlights-high-lumen-tactical-flashlights-with-5-modes-waterproof-zoomable-portable-torch-for-camping-hiking-outdoor-home-emergency-battery-not-included-g-601099527865760.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/797e94992009ae98cbbd93651fc2666a.jpg?imageView2/2/w/500/q/70/format/webp
"4 Pcs Women's Push Up Sports Bra, Fitness Gym Runing Wireless Hollow Mesh Yoga Bra, Women's Activewear",12.99,4.6,12447,46K+,in Women's Activewear,https://www.temu.com/4-pcs-womens-push-up-sports-bra-fitness-gym-runing-wireless-hollow-mesh-yoga-bra-womens-activewear-g-601099521441930.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/5b708638f8ee38719f9ec4b98f3716cd.jpg?imageView2/2/w/500/q/70/format/webp
"Letter Print Men's Versatile And Trendy Men's Long Sleeve Street Casual Sports And Fashionable Hoodies With Kangaroo Pocket Sweatshirt And Sweatpants Two Piece Set,Suitable For Outdoor Sports,For Autumn And Winter",15.17,4.7,18131,26K+,in Men's Sets,https://www.temu.com/letter-print-mens-versatile-and-trendy-mens-long-sleeve-street-casual-sports-and-fashionable-hoodies-with-kangaroo-pocket-sweatshirt-and-sweatpants-two-piece-set-suitable-for-outdoor-sports-for-autumn-and-winter-g-601099525806320.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/548a9f53c939c4d0ea3c68a545fceb5e.jpg?imageView2/2/w/500/q/70/format/webp
"Solid Sherpa Warm Plush Lining Leggings, Casual Stretchy Long Length High Waist Leggings, Women's Clothing",8.47,4.8,33262,100K+,in Women's Skinny-Fit Pants,https://www.temu.com/solid-sherpa-warm-plush-lining-leggings-casual-stretchy-long-length-high-waist-leggings-womens-clothing-g-601099513221559.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/39027b68e015340f5eea03e1768102d1.jpg?imageView2/2/w/500/q/70/format/webp
"Winter Warm Thickened Long Leggings, Casual High Waist Elastic Fashion Bottoms Slim Leggings, Women's Wear",5.43,4.8,20588,74K+,in Women's Activewear,https://www.temu.com/winter-warm-thickened-long-leggings-casual-high-waist-elastic-fashion-bottoms-slim-leggings-womens-wear-g-601099517886788.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/1326c7f2c4348ec7a2da2007a2d26484.jpg?imageView2/2/w/500/q/70/format/webp
"Women's Fluffy Furry Snow Boots, Solid Color Bowknot Plush Lined Ankle Boots, Winter Warm Flat Fuzzy Short Boots",13.99,4.7,8980,50K+,in Women's Ankle Boots & Booties,https://www.temu.com/womens-fluffy-furry-snow-boots-solid-color-bowknot-plush-lined-ankle-boots-winter-warm-flat-fuzzy-short-boots-g-601099522256634.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/52153b01daddde002302c8bb55413a58.jpg?imageView2/2/w/500/q/70/format/webp
"Creative Tassels Decoration Straight Fit Jeans, Men's Casual Medium Stretch Street Style Denim Pants For All Seasons",25.87,4.6,28887,94K+,in Men's Jeans,https://www.temu.com/creative-tassels-decoration-straight-fit-jeans-mens-casual-mid-stretch-street-style-denim-pants-for-the-four-seasons-g-601099517365960.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/a7ab2735dc946a2191b91552ee2a8f42.jpg?imageView2/2/w/500/q/70/format/webp
"Solid Kangaroo Pocket Hoodie, Casual Long Sleeve Drawstring Hoodies Sweatshirt, Women's Clothing",10.97,4.7,17845,29K+,in Women's Sweatshirts,https://www.temu.com/solid-kangaroo-pocket-hoodie-casual-long-sleeve-drawstring-hoodies-sweatshirt-womens-clothing-g-601099519525269.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/b8e9da9b1b31653736ba1e828483f73b.jpg?imageView2/2/w/500/q/70/format/webp
"Casual Solid Thermal Two-piece Set, Crew Neck Long Sleeve Sweatshirt & Drawstring Pants Outfits, Women's Clothing",19.79,4.7,11693,9.8K+,in Women's Two-piece Outfits,https://www.temu.com/casual-solid-thermal-two-piece-set-crew-neck-long-sleeve-sweatshirt-drawstring-pants-outfits-womens-clothing-g-601099524722669.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/08e1e6228d83dc319216a8c3f8b30fb7.jpg?imageView2/2/w/500/q/70/format/webp
"1pc 5000/10000mAh Mobile Power Bank, 22.5W/PD20W Super Fast Charge, Magnetic Wireless Charging Bank, Portable Mobile Phone Charger For IPhone15pro/14max/13/12 /Android (USB, Type-c), With LED Power Display, Outdoor Emergency Power Backup Battery Pack",12.86,4.6,15987,100K+,in Power Banks,https://www.temu.com/1pc-5000-10000mah-mobile-power-bank-22-5w-pd20w-super-fast-charge-magnetic-suction-wireless-charging-bank-portable-phone-charger-suitable-for-android--devices-usb-type-c-led-power-display-g-601099517258280.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/9d3837d0e1c61d6d62ad2d63bba8c264.jpg?imageView2/2/w/500/q/70/format/webp
"Winter Snow Boots, Women's Ankle Boots, Women Boots, Non Slip Warm Plush Shoes",8.98,4.7,17106,52K+,in Women's Winter Boots,https://www.temu.com/plush-fur-fleece-lined-flat-lightweight-comfortable-skate-shoes-thermal-wear-resistance-non-slip-boat-shoes-loafers-shoes-fall-aesthetic-casual-versatile-breathable-lazy-preppy-school-walking-shoes-g-601099523883529.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/9d9e2522208af602da57603dc2054422.jpg?imageView2/2/w/500/q/70/format/webp
"Solid Color Slippers, Casual Slip On Plush Lined Shoes, Comfortable Indoor Home Slippers",5.35,4.7,73672,53K+,in Women's slippers,https://www.temu.com/solid-color-slippers-casual-slip-on-plush-lined-shoes-comfortable-indoor-home-slippers-g-601099521609365.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/8796932ff41068e7828728611f309580.jpg?imageView2/2/w/500/q/70/format/webp
"Solid Pajama Set, Long Sleeve Button Up Lapel Top & Pants Pj Set, Women's Sleepwear & Loungewear",10.79,4.8,8127,62K+,in Women's Sleepwear,https://www.temu.com/solid-satin-pajama-set-long-sleeve-button-up-lapel-top-pants-pj-set-womens-sleepwear-loungewear-g-601099513621035.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/65bfa3ec7c529971d6724cd74a6f9180.jpg?imageView2/2/w/500/q/70/format/webp
"Faux Fur Hood Drawstring Parka Coat, Zip Up Button Front Pocket Thermal Overcoat, Women's Clothing",32.87,4.7,31291,21K+,in Women's Coat & Jacket,https://www.temu.com/faux-fur-hood-long-length-coat-casual-drawstring-pocket-warm-overcoat-womens-clothing-g-601099516376510.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/0bf01d45ed63b95b61a3508c77ef078a.jpg?imageView2/2/w/500/q/70/format/webp
"8 Pairs Fuzzy Floor Socks, Comfy & Warm Mid Tube Socks, Women's Stockings & Hosiery",6.29,4.7,33066,100K+,in Women's Stockings & Hosiery,https://www.temu.com/8-pairs-fuzzy-floor-socks-comfy-warm-mid-tube-socks-womens-stockings-hosiery-g-601099524355520.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f62dc3a517f76797ccc843753825ab7f.jpg?imageView2/2/w/500/q/70/format/webp
"1pc, Soft Area Rugs For Bedroom Fluffy, Non-slip Fuzzy Shag Plush Soft Shaggy Bedside Rug, Tie-Dyed Living Room Carpet For Girls Kids Baby Teen Dorm Home Decor, Bedroom Living Room Nursery Room Rug 31.5*62.99inch",13.98,4.6,12297,76K+,in Rugs & Mats,https://www.temu.com/1pc-soft-area-rugs-for-bedroom-fluffy-non-slip-fuzzy-shag-plush-soft-shaggy-bedside-rug-tie-dyed-living-room-carpet-for-girls-kids-baby-teen-dorm-home-decor-bedroom-living-room-nursery-room-rug-31-5-62-99inch-g-601099517504929.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/499bb73b9fe83131448117262634504d.jpg?imageView2/2/w/500/q/70/format/webp
"Secure Your Home With 5G Dual-Band WiFi 1080p HD E27 Bulb Camera With Automatic Tracking, Full-Color Night Vision & Two-Way Audio!",12.98,4.5,7918,62K+,in Security & Surveillance,https://www.temu.com/5g-dual-band-wifi-monitor-1080p-hd-e27-bulb-camera-socket-automatic-tracking-full-color-night-vision-two-way-audio-wireless-security-monitor-no-tf-sd-card-g-601099518594768.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/fa99e0a48a7d7c51801bb301f4a5fb10.jpg?imageView2/2/w/500/q/70/format/webp
